zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97330,94,2020-12-16,21.087580760947596,Corvallis,44576,54916
97317,55,2020-12-16,21.021250573306833,Salem,26164,59502
97539,8,2020-12-16,20.844189682126107,Shady Cove,3838,40585
97850,36,2020-12-16,20.63273727647868,La Grande,17448,42768
97203,73,2020-12-16,20.471690176393057,Portland,35659,57817
97133,11,2020-12-16,20.419528494523853,North Plains,5387,88697
97701,81,2020-12-16,20.1984938407062,Bend,40102,60820
97227,11,2020-12-16,20.098666179426274,Portland,5473,67684
97089,28,2020-12-16,20.03577817531306,Damascus,13975,103250
97051,34,2020-12-16,19.915651358950328,Saint Helens,17072,52674
97124,109,2020-12-16,19.903222861316536,Hillsboro,54765,88896
97086,65,2020-12-16,19.8867982254857,Happy Valley,32685,98590
97205,17,2020-12-16,19.873743277998596,Portland,8554,35240
97008,60,2020-12-16,19.77848101265823,Beaverton,30336,71986
97347,4,2020-12-16,19.66568338249754,Grand Ronde,2034,51190
97462,8,2020-12-16,19.66568338249754,Oakland,4068,52371
97370,18,2020-12-16,19.580115305123464,Philomath,9193,63322
97527,68,2020-12-16,19.484240687679083,Grants Pass,34900,48717
97302,79,2020-12-16,19.36749203236087,Salem,40790,64161
97004,9,2020-12-16,19.193857965451055,Beavercreek,4689,94200
97396,7,2020-12-16,18.980477223427332,Willamina,3688,50511
97504,93,2020-12-16,18.968752549563515,Medford,49028,56873
97007,92,2020-12-16,18.966725765884632,Beaverton,48506,100221
97495,3,2020-12-16,18.92744479495268,Winchester,1585,43619
97869,2,2020-12-16,18.796992481203006,Prairie City,1064,39081
97383,19,2020-12-16,18.36813611755607,Stayton,10344,55632
97702,91,2020-12-16,18.29807769645299,Bend,49732,70425
97452,3,2020-12-16,18.06140878988561,Lowell,1661,58503
97267,58,2020-12-16,17.760901518863303,Portland,32656,71640
97333,40,2020-12-16,17.715576420567785,Corvallis,22579,55348
97530,14,2020-12-16,17.576898932831135,Jacksonville,7965,60279
97914,34,2020-12-16,17.536620590055705,Ontario,19388,37363
97524,28,2020-12-16,17.5153259101714,Eagle Point,15986,62913
97003,55,2020-12-16,17.39680531393326,Beaverton,31615,72734
97141,24,2020-12-16,17.301038062283737,Tillamook,13872,50213
97222,64,2020-12-16,17.179824443668966,Portland,37253,58020
97217,62,2020-12-16,17.12186904531772,Portland,36211,69277
97824,3,2020-12-16,17.113519680547633,Cove,1753,62393
97739,23,2020-12-16,16.94041393533181,La Pine,13577,48661
97321,47,2020-12-16,16.88400330495384,Albany,27837,68304
97111,6,2020-12-16,16.882386043894204,Carlton,3554,72753
97223,86,2020-12-16,16.787694229718124,Portland,51228,83752
97017,5,2020-12-16,16.733601070950467,Colton,2988,88141
97520,45,2020-12-16,16.56604329259314,Ashland,27164,57290
97324,2,2020-12-16,16.501650165016503,Alsea,1212,58972
97148,6,2020-12-16,16.32208922742111,Yamhill,3676,93310
97820,2,2020-12-16,16.15508885298869,Canyon City,1238,56040
97064,6,2020-12-16,16.077170418006432,Vernonia,3732,56671
97423,11,2020-12-16,16.049022468631456,Coquille,6854,39358
97016,10,2020-12-16,15.979546180888462,Clatskanie,6258,57303
97206,82,2020-12-16,15.977242172125557,Portland,51323,62204
97140,46,2020-12-16,15.97721510194158,Sherwood,28791,103356
97201,28,2020-12-16,15.968974563704801,Portland,17534,56236
97009,13,2020-12-16,15.94896331738437,Boring,8151,85309
97362,8,2020-12-16,15.891934843067144,Mount Angel,5034,53086
97211,53,2020-12-16,15.549361889394161,Portland,34085,80640
97759,12,2020-12-16,15.398434492493264,Sisters,7793,75337
97525,8,2020-12-16,15.186028853454822,Gold Hill,5268,50465
97532,4,2020-12-16,14.958863126402393,Merlin,2674,55284
97392,8,2020-12-16,14.86712506968965,Turner,5381,71954
97401,68,2020-12-16,14.833882332409852,Eugene,45841,37586
97132,46,2020-12-16,14.659485643264604,Newberg,31379,71141
97738,3,2020-12-16,14.33349259436216,Hines,2093,51069
