zip,count,new_rate_10k,date,zipcode,name,state_abbrev,area,totpop_cy,medhinc_cy
97067,0,0.0,2020-05-19,97067,Welches,OR,27.8987792260179,2046,79013
97070,0,0.0,2020-05-19,97070,Wilsonville,OR,18.7799103406834,25311,80835
97107,0,0.0,2020-05-19,97107,"Bay City",OR,24.3944110537478,1587,57057
97110,0,0.0,2020-05-19,97110,"Cannon Beach",OR,10.2355296015654,1713,59314
97111,0,0.0,2020-05-19,97111,Carlton,OR,39.6472672675319,3554,72753
97112,0,0.0,2020-05-19,97112,Cloverdale,OR,98.2490579434292,2263,51011
97136,0,0.0,2020-05-19,97136,"Rockaway Beach",OR,27.1921385575478,1895,39354
97148,0,0.0,2020-05-19,97148,Yamhill,OR,138.28332478265,3676,93310
97217,0,0.0,2020-05-19,97217,Portland,OR,10.6222520893604,36211,69277
97218,0,0.0,2020-05-19,97218,Portland,OR,10.933331212801,15828,59510
97225,0,0.0,2020-05-19,97225,Portland,OR,6.71961076398565,26086,89522
97229,0,0.0,2020-05-19,97229,Portland,OR,19.3911836373978,70680,119453
97267,0,0.0,2020-05-19,97267,Portland,OR,7.58717075062981,32656,71640
97324,0,0.0,2020-05-19,97324,Alsea,OR,196.401763638428,1212,58972
97344,0,0.0,2020-05-19,97344,"Falls City",OR,236.294473687324,1216,49123
97358,0,0.0,2020-05-19,97358,Lyons,OR,41.730801829922,2960,65701
97366,0,0.0,2020-05-19,97366,"South Beach",OR,12.312478497354,1514,57443
97368,0,0.0,2020-05-19,97368,Otis,OR,37.8276026695793,3816,46429
97376,0,0.0,2020-05-19,97376,"Seal Rock",OR,62.7021658087819,1707,46445
97378,0,0.0,2020-05-19,97378,Sheridan,OR,136.875599486188,9474,51177
97380,0,0.0,2020-05-19,97380,Siletz,OR,113.020290604281,2629,48339
97385,0,0.0,2020-05-19,97385,Sublimity,OR,33.2346763206548,3527,67784
97391,0,0.0,2020-05-19,97391,Toledo,OR,82.3830264263315,6040,52634
97403,0,0.0,2020-05-19,97403,Eugene,OR,4.03051016642778,12701,48779
97405,0,0.0,2020-05-19,97405,Eugene,OR,112.221940186477,47657,66133
97411,0,0.0,2020-05-19,97411,Bandon,OR,136.503974691971,7906,35720
97419,0,0.0,2020-05-19,97419,Cheshire,OR,31.1848309442258,1186,63300
97423,0,0.0,2020-05-19,97423,Coquille,OR,112.685711575054,6854,39358
97431,0,0.0,2020-05-19,97431,Dexter,OR,93.9206749186528,3005,68076
97435,0,0.0,2020-05-19,97435,Drain,OR,225.132961369654,2360,46710
97437,0,0.0,2020-05-19,97437,Elmira,OR,24.3430287863244,3035,59021
97438,0,0.0,2020-05-19,97438,"Fall Creek",OR,272.844239917572,1413,63230
97439,0,0.0,2020-05-19,97439,Florence,OR,147.881754396235,15740,40608
97442,0,0.0,2020-05-19,97442,Glendale,OR,350.806425641259,2491,46523
97443,0,0.0,2020-05-19,97443,Glide,OR,921.051339479172,2614,57841
97446,0,0.0,2020-05-19,97446,Harrisburg,OR,115.495174608374,5291,59823
97449,0,0.0,2020-05-19,97449,Lakeside,OR,45.6042610563694,2029,39372
97452,0,0.0,2020-05-19,97452,Lowell,OR,29.8186964368451,1661,58503
97454,0,0.0,2020-05-19,97454,Marcola,OR,84.9298153714012,1527,72283
97455,0,0.0,2020-05-19,97455,"Pleasant Hill",OR,19.487804391789,2332,72818
97456,0,0.0,2020-05-19,97456,Monroe,OR,104.731561713054,3122,59770
97458,0,0.0,2020-05-19,97458,"Myrtle Point",OR,527.055225251448,4774,42761
97459,0,0.0,2020-05-19,97459,"North Bend",OR,317.289280830006,14881,45092
97463,0,0.0,2020-05-19,97463,Oakridge,OR,1108.31774477111,4347,40287
97465,0,0.0,2020-05-19,97465,"Port Orford",OR,117.807090831625,2344,34346
97488,0,0.0,2020-05-19,97488,Vida,OR,206.094047026803,1150,56463
97497,0,0.0,2020-05-19,97497,"Wolf Creek",OR,103.544759378236,1592,44954
97498,0,0.0,2020-05-19,97498,Yachats,OR,95.4877107311338,1977,44404
97499,0,0.0,2020-05-19,97499,Yoncalla,OR,128.918210235637,2037,45827
97502,0,0.0,2020-05-19,97502,"Central Point",OR,82.2044501335604,29656,55522
97504,0,0.0,2020-05-19,97504,Medford,OR,51.2395277919682,49028,56873
97520,0,0.0,2020-05-19,97520,Ashland,OR,650.448522966211,27164,57290
97525,0,0.0,2020-05-19,97525,"Gold Hill",OR,121.333049774043,5268,50465
97526,0,0.0,2020-05-19,97526,"Grants Pass",OR,243.846756990657,36281,48330
97530,0,0.0,2020-05-19,97530,Jacksonville,OR,417.319009797209,7965,60279
97532,0,0.0,2020-05-19,97532,Merlin,OR,320.292925565146,2674,55284
97537,0,0.0,2020-05-19,97537,"Rogue River",OR,213.780221461063,7431,48920
97538,0,0.0,2020-05-19,97538,Selma,OR,197.730297682718,2720,46611
97539,0,0.0,2020-05-19,97539,"Shady Cove",OR,10.6136023700573,3838,40585
