ZIP Code,Case Count,"Cases Per 100,000",report_date
97488,11,1088,2020-12-23
97204,37,3571.4,2020-12-23
97419,18,1688.6,2020-12-23
97063,-1,-1,2020-12-23
97344,-1,-1,2020-12-23
97826,37,3410.1,2020-12-23
97021,20,1836.5,2020-12-23
97820,23,2100.5,2020-12-23
97324,15,1332.1,2020-12-23
97869,22,1938.3,2020-12-23
97886,34,2982.5,2020-12-23
97865,23,1982.8,2020-12-23
97438,17,1427.4,2020-12-23
97040,20,1607.7,2020-12-23
97375,22,1757.2,2020-12-23
97110,22,1713.4,2020-12-23
97014,25,1941,2020-12-23
97376,-1,-1,2020-12-23
97813,41,3149,2020-12-23
97137,33,2524.9,2020-12-23
97641,22,1675.6,2020-12-23
97454,17,1271.5,2020-12-23
97633,53,3894.2,2020-12-23
97121,26,1880,2020-12-23
97885,27,1952.3,2020-12-23
97452,17,1197.2,2020-12-23
97495,18,1241.4,2020-12-23
97366,13,890.4,2020-12-23
97632,57,3888.1,2020-12-23
97541,15,1014.9,2020-12-23
97497,-1,-1,2020-12-23
97107,10,653.6,2020-12-23
97054,-1,-1,2020-12-23
97348,36,2215.4,2020-12-23
97824,33,1986.8,2020-12-23
97389,46,2744.6,2020-12-23
97136,12,681.4,2020-12-23
97498,-1,-1,2020-12-23
97347,40,2129.9,2020-12-23
97846,14,740.3,2020-12-23
97049,22,1158.5,2020-12-23
97112,28,1472.9,2020-12-23
97738,42,2163.8,2020-12-23
97018,29,1485.7,2020-12-23
97499,14,715.4,2020-12-23
97449,10,510.5,2020-12-23
97836,31,1563.3,2020-12-23
97868,51,2561.5,2020-12-23
97753,23,1140.9,2020-12-23
97538,19,921,2020-12-23
97067,34,1590.3,2020-12-23
97465,-1,-1,2020-12-23
97544,-1,-1,2020-12-23
97442,12,537.6,2020-12-23
97443,20,896.1,2020-12-23
97360,28,1245,2020-12-23
97623,24,1039,2020-12-23
97341,17,731.2,2020-12-23
97431,26,1113.5,2020-12-23
97435,17,723.7,2020-12-23
97532,33,1387.7,2020-12-23
97331,39,1619.6,2020-12-23
97417,56,2296,2020-12-23
97380,51,2082.5,2020-12-23
97883,53,2143.1,2020-12-23
97131,11,440.4,2020-12-23
97455,33,1300.2,2020-12-23
97437,22,855.4,2020-12-23
97358,35,1358.7,2020-12-23
97469,32,1232.7,2020-12-23
97875,214,8199.2,2020-12-23
97827,49,1864.5,2020-12-23
97845,78,2941.2,2020-12-23
97734,77,2763.8,2020-12-23
97041,72,2555.9,2020-12-23
97327,40,1393.2,2020-12-23
97017,34,1163.6,2020-12-23
97042,49,1676.4,2020-12-23
97456,34,1139,2020-12-23
97828,27,864.3,2020-12-23
97396,51,1617,2020-12-23
97111,80,2534.9,2020-12-23
97019,78,2467.6,2020-12-23
97053,32,985.5,2020-12-23
97385,70,2149.2,2020-12-23
97539,41,1231.6,2020-12-23
97148,56,1644.2,2020-12-23
97368,28,815.1,2020-12-23
97064,39,1125.9,2020-12-23
97624,74,2114.3,2020-12-23
97022,84,2256.9,2020-12-23
97127,118,3155.1,2020-12-23
97101,76,2003.2,2020-12-23
97844,232,6095.6,2020-12-23
97026,262,6867.6,2020-12-23
97227,108,2807.4,2020-12-23
97463,54,1392.8,2020-12-23
97462,55,1396.6,2020-12-23
97761,589,14773,2020-12-23
97133,88,2200,2020-12-23
97115,83,2005.3,2020-12-23
97818,497,11950,2020-12-23
97231,56,1308.4,2020-12-23
97362,165,3803.6,2020-12-23
97004,66,1504.1,2020-12-23
97119,90,2036.2,2020-12-23
97720,73,1611.5,2020-12-23
97918,292,6436,2020-12-23
97106,79,1736.3,2020-12-23
97525,80,1738.8,2020-12-23
97394,30,646.1,2020-12-23
97458,18,380.3,2020-12-23
97114,175,3674.9,2020-12-23
97446,128,2660,2020-12-23
97032,266,5274.6,2020-12-23
97535,100,1981.4,2020-12-23
97630,151,2963.1,2020-12-23
97444,30,579,2020-12-23
97392,124,2388.7,2020-12-23
97374,92,1747.1,2020-12-23
97467,57,1067.6,2020-12-23
97391,55,1029.2,2020-12-23
97913,479,8666.5,2020-12-23
97352,121,2159.2,2020-12-23
97002,176,3130,2020-12-23
97707,72,1238.4,2020-12-23
97146,121,2049.1,2020-12-23
97016,75,1232.9,2020-12-23
97523,55,878,2020-12-23
97759,125,1986,2020-12-23
97325,157,2373.8,2020-12-23
97048,108,1614.1,2020-12-23
97760,141,2086.7,2020-12-23
97423,53,778.4,2020-12-23
97530,117,1691.7,2020-12-23
97537,83,1199.8,2020-12-23
97411,37,532.1,2020-12-23
97496,71,930,2020-12-23
97205,99,1287.7,2020-12-23
97882,680,8762.9,2020-12-23
97009,241,3104.9,2020-12-23
97540,143,1803.3,2020-12-23
97370,115,1390.4,2020-12-23
97487,114,1349.3,2020-12-23
97378,115,1294.8,2020-12-23
97367,161,1709.9,2020-12-23
97479,149,1567.6,2020-12-23
97383,247,2576.4,2020-12-23
97426,168,1729.1,2020-12-23
97023,230,2339.3,2020-12-23
97138,136,1357.1,2020-12-23
97457,122,1195.1,2020-12-23
97024,594,5799.6,2020-12-23
97351,349,3386,2020-12-23
97503,498,4730.2,2020-12-23
97365,394,3667.2,2020-12-23
97210,146,1341,2020-12-23
97739,127,1152.7,2020-12-23
97361,233,2069.6,2020-12-23
97232,228,1987.4,2020-12-23
97056,197,1713.5,2020-12-23
97403,255,2194.1,2020-12-23
97221,152,1307,2020-12-23
97862,584,5006,2020-12-23
97408,192,1639.5,2020-12-23
97741,561,4709.5,2020-12-23
97089,357,2978.5,2020-12-23
97027,230,1896,2020-12-23
97448,250,2041.8,2020-12-23
97814,325,2624.8,2020-12-23
97141,164,1248.1,2020-12-23
97386,155,1142.5,2020-12-23
97415,184,1309.5,2020-12-23
97459,150,1064.1,2020-12-23
97239,238,1682,2020-12-23
97113,826,5835.4,2020-12-23
97439,71,495,2020-12-23
97524,315,2178.6,2020-12-23
97218,660,4532.7,2020-12-23
97381,323,2195.6,2020-12-23
97209,707,4729.1,2020-12-23
97038,381,2521,2020-12-23
97201,249,1608.1,2020-12-23
97216,603,3866.9,2020-12-23
97051,265,1660.7,2020-12-23
97215,303,1850.4,2020-12-23
97103,182,1079.5,2020-12-23
97850,748,4411.7,2020-12-23
97055,500,2881.8,2020-12-23
97424,197,1119.7,2020-12-23
97031,611,3325.2,2020-12-23
97754,377,2029.7,2020-12-23
97034,298,1576.3,2020-12-23
97914,1924,10018.2,2020-12-23
97015,809,4144.3,2020-12-23
97058,739,3725.2,2020-12-23
97470,253,1265.9,2020-12-23
97338,340,1696.2,2020-12-23
97070,559,2667.4,2020-12-23
97060,824,3882,2020-12-23
97333,282,1319.2,2020-12-23
97078,749,3494.9,2020-12-23
97708,16,74.7,2020-12-23
97801,1234,5733.9,2020-12-23
97601,554,2466.7,2020-12-23
97013,808,3561.4,2020-12-23
97140,464,1976.7,2020-12-23
97214,359,1507.6,2020-12-23
97035,361,1509.7,2020-12-23
97116,1019,4227.5,2020-12-23
97212,303,1255.9,2020-12-23
97225,396,1638,2020-12-23
97317,911,3740.5,2020-12-23
97520,338,1381.3,2020-12-23
97005,976,3918.7,2020-12-23
97321,494,1981.7,2020-12-23
97838,2344,9248,2020-12-23
97003,740,2858.9,2020-12-23
97086,878,3375.6,2020-12-23
97306,777,2839.9,2020-12-23
97062,899,3277,2020-12-23
97420,328,1193.9,2020-12-23
97502,739,2668.4,2020-12-23
97132,628,2220.8,2020-12-23
97068,444,1568.6,2020-12-23
97304,805,2829.1,2020-12-23
97220,1081,3793.6,2020-12-23
97355,624,2180.8,2020-12-23
97071,2242,7783.9,2020-12-23
97008,690,2381.9,2020-12-23
97471,373,1281.8,2020-12-23
97213,534,1827.6,2020-12-23
97603,853,2889.1,2020-12-23
97267,697,2260.1,2020-12-23
97203,983,3166.7,2020-12-23
97224,630,2024.3,2020-12-23
97211,678,2169.3,2020-12-23
97217,703,2236.1,2020-12-23
97404,513,1590.5,2020-12-23
97703,505,1521.7,2020-12-23
97266,1484,4456.5,2020-12-23
97756,864,2575,2020-12-23
97527,405,1201.3,2020-12-23
97322,824,2420.8,2020-12-23
97526,424,1239.6,2020-12-23
97222,784,2241.3,2020-12-23
97128,1107,3063,2020-12-23
97030,1741,4744.8,2020-12-23
97236,2197,5961.7,2020-12-23
97477,764,2071.9,2020-12-23
97478,778,2102.1,2020-12-23
97302,793,2135.7,2020-12-23
97303,1320,3414.1,2020-12-23
97219,584,1508.7,2020-12-23
97202,533,1375.1,2020-12-23
97233,2484,6309.9,2020-12-23
97230,1803,4535.6,2020-12-23
97305,2129,5299.2,2020-12-23
97401,1013,2499.9,2020-12-23
97702,974,2400,2020-12-23
97080,1652,4040.3,2020-12-23
97330,608,1466,2020-12-23
97501,1701,4038.7,2020-12-23
97504,1224,2754,2020-12-23
97123,1836,4122.4,2020-12-23
97405,438,981.1,2020-12-23
97223,1068,2287,2020-12-23
97206,1073,2254.4,2020-12-23
97124,1233,2550.2,2020-12-23
97402,1050,2085.7,2020-12-23
97045,1307,2544.8,2020-12-23
97301,2309,4314.4,2020-12-23
97229,836,1436,2020-12-23
97701,862,1461.2,2020-12-23
97006,1212,1922.7,2020-12-23
97007,1185,1769.9,2020-12-23
