zip,count,rate_10k,date
97002,48,853.6,2020-09-23
97003,229,884.7,2020-09-23
97004,23,524.2,2020-09-23
97005,294,1180.4,2020-09-23
97006,342,542.5,2020-09-23
97007,321,479.4,2020-09-23
97008,195,673.1,2020-09-23
97009,62,798.8,2020-09-23
97013,261,1150.4,2020-09-23
97014,-1,-1,2020-09-23
97015,174,891.3,2020-09-23
97016,27,443.9,2020-09-23
97017,-1,-1,2020-09-23
97018,10,512.3,2020-09-23
97019,34,1075.6,2020-09-23
97021,-1,-1,2020-09-23
97022,19,510.5,2020-09-23
97023,48,488.2,2020-09-23
97024,223,2177.3,2020-09-23
97026,120,3145.5,2020-09-23
97027,50,412.2,2020-09-23
97030,490,1335.4,2020-09-23
97031,192,1044.9,2020-09-23
97032,114,2260.6,2020-09-23
97034,68,359.7,2020-09-23
97035,87,363.8,2020-09-23
97038,100,661.7,2020-09-23
97040,10,803.9,2020-09-23
97041,33,1171.5,2020-09-23
97042,18,615.8,2020-09-23
97045,310,603.6,2020-09-23
97048,28,418.5,2020-09-23
97049,-1,-1,2020-09-23
97051,47,294.5,2020-09-23
97053,-1,-1,2020-09-23
97054,-1,-1,2020-09-23
97055,71,409.2,2020-09-23
97056,28,243.5,2020-09-23
97058,221,1114,2020-09-23
97060,247,1163.7,2020-09-23
97062,263,958.7,2020-09-23
97063,-1,-1,2020-09-23
97064,10,288.7,2020-09-23
97067,13,608,2020-09-23
97068,90,318,2020-09-23
97070,155,739.6,2020-09-23
97071,1021,3544.8,2020-09-23
97078,257,1199.2,2020-09-23
97080,523,1279.1,2020-09-23
97086,215,826.6,2020-09-23
97089,87,725.8,2020-09-23
97101,26,685.3,2020-09-23
97103,54,320.3,2020-09-23
97106,27,593.4,2020-09-23
97107,0,0,2020-09-23
97110,-1,-1,2020-09-23
97111,15,475.3,2020-09-23
97112,0,0,2020-09-23
97113,267,1886.3,2020-09-23
97114,47,987,2020-09-23
97115,23,555.7,2020-09-23
97116,271,1124.3,2020-09-23
97119,16,362,2020-09-23
97121,-1,-1,2020-09-23
97123,586,1315.8,2020-09-23
97124,348,719.8,2020-09-23
97127,28,748.7,2020-09-23
97128,392,1084.6,2020-09-23
97131,-1,-1,2020-09-23
97132,156,551.7,2020-09-23
97133,13,325,2020-09-23
97136,-1,-1,2020-09-23
97137,-1,-1,2020-09-23
97138,20,199.6,2020-09-23
97140,88,374.9,2020-09-23
97141,33,251.1,2020-09-23
97146,30,508,2020-09-23
97148,19,557.8,2020-09-23
97201,62,400.4,2020-09-23
97202,162,417.9,2020-09-23
97203,322,1037.3,2020-09-23
97204,-1,-1,2020-09-23
97205,21,273.2,2020-09-23
97206,288,605.1,2020-09-23
97209,124,829.4,2020-09-23
97210,42,385.8,2020-09-23
97211,178,569.5,2020-09-23
97212,86,356.5,2020-09-23
97213,137,468.9,2020-09-23
97214,147,617.3,2020-09-23
97215,105,641.2,2020-09-23
97216,160,1026,2020-09-23
97217,177,563,2020-09-23
97218,178,1222.4,2020-09-23
97219,163,421.1,2020-09-23
97220,300,1052.8,2020-09-23
97221,40,343.9,2020-09-23
97222,209,597.5,2020-09-23
97223,272,582.5,2020-09-23
97224,169,543,2020-09-23
97225,133,550.1,2020-09-23
97227,19,493.9,2020-09-23
97229,227,389.9,2020-09-23
97230,512,1288,2020-09-23
97231,18,420.6,2020-09-23
97232,39,340,2020-09-23
97233,790,2006.8,2020-09-23
97236,752,2040.6,2020-09-23
97239,70,494.7,2020-09-23
97266,370,1111.1,2020-09-23
97267,164,531.8,2020-09-23
97301,735,1373.4,2020-09-23
97302,227,611.3,2020-09-23
97303,423,1094.1,2020-09-23
97304,285,1001.6,2020-09-23
97305,758,1886.7,2020-09-23
97306,238,869.9,2020-09-23
97317,267,1096.3,2020-09-23
97321,114,457.3,2020-09-23
97322,182,534.7,2020-09-23
97324,-1,-1,2020-09-23
97325,40,604.8,2020-09-23
97327,-1,-1,2020-09-23
97330,138,332.8,2020-09-23
97331,23,955.1,2020-09-23
97333,59,276,2020-09-23
97338,54,269.4,2020-09-23
97341,-1,-1,2020-09-23
97344,-1,-1,2020-09-23
97347,-1,-1,2020-09-23
97348,-1,-1,2020-09-23
97351,87,844.1,2020-09-23
97352,20,356.9,2020-09-23
97355,97,339,2020-09-23
97358,0,0,2020-09-23
97360,-1,-1,2020-09-23
97361,59,524.1,2020-09-23
97362,56,1290.9,2020-09-23
97365,313,2913.3,2020-09-23
97366,10,684.9,2020-09-23
97367,87,924,2020-09-23
97368,-1,-1,2020-09-23
97370,31,374.8,2020-09-23
97374,12,227.9,2020-09-23
97375,12,958.5,2020-09-23
97376,-1,-1,2020-09-23
97378,29,326.5,2020-09-23
97380,13,530.8,2020-09-23
97381,110,747.7,2020-09-23
97383,57,594.6,2020-09-23
97385,24,736.9,2020-09-23
97386,19,140,2020-09-23
97389,-1,-1,2020-09-23
97391,18,336.8,2020-09-23
97392,32,616.5,2020-09-23
97394,-1,-1,2020-09-23
97396,-1,-1,2020-09-23
97401,156,385,2020-09-23
97402,166,329.7,2020-09-23
97403,33,283.9,2020-09-23
97404,90,279,2020-09-23
97405,70,156.8,2020-09-23
97408,44,375.7,2020-09-23
97411,-1,-1,2020-09-23
97415,22,156.6,2020-09-23
97417,-1,-1,2020-09-23
97419,-1,-1,2020-09-23
97420,61,222,2020-09-23
97423,13,190.9,2020-09-23
97424,35,198.9,2020-09-23
97426,16,164.7,2020-09-23
97431,-1,-1,2020-09-23
97435,-1,-1,2020-09-23
97437,-1,-1,2020-09-23
97438,-1,-1,2020-09-23
97439,22,153.4,2020-09-23
97442,-1,-1,2020-09-23
97443,-1,-1,2020-09-23
97444,-1,-1,2020-09-23
97446,32,665,2020-09-23
97448,16,130.7,2020-09-23
97449,0,0,2020-09-23
97452,-1,-1,2020-09-23
97454,0,0,2020-09-23
97455,-1,-1,2020-09-23
97456,-1,-1,2020-09-23
97457,24,235.1,2020-09-23
97458,-1,-1,2020-09-23
97459,55,390.2,2020-09-23
97462,12,304.7,2020-09-23
97463,-1,-1,2020-09-23
97465,-1,-1,2020-09-23
97467,-1,-1,2020-09-23
97469,-1,-1,2020-09-23
97470,37,185.1,2020-09-23
97471,44,151.2,2020-09-23
97477,106,287.5,2020-09-23
97478,135,364.8,2020-09-23
97479,42,441.9,2020-09-23
97487,17,201.2,2020-09-23
97488,-1,-1,2020-09-23
97495,-1,-1,2020-09-23
97496,10,131,2020-09-23
97497,0,0,2020-09-23
97498,-1,-1,2020-09-23
97499,-1,-1,2020-09-23
97501,372,883.3,2020-09-23
97502,114,411.6,2020-09-23
97503,141,1339.3,2020-09-23
97504,186,418.5,2020-09-23
97520,53,216.6,2020-09-23
97523,10,159.6,2020-09-23
97524,55,380.4,2020-09-23
97525,17,369.5,2020-09-23
97526,77,225.1,2020-09-23
97527,77,228.4,2020-09-23
97530,19,274.7,2020-09-23
97532,-1,-1,2020-09-23
97535,27,535,2020-09-23
97537,17,245.7,2020-09-23
97538,0,0,2020-09-23
97539,-1,-1,2020-09-23
97540,40,504.4,2020-09-23
97541,-1,-1,2020-09-23
97544,0,0,2020-09-23
97601,115,512,2020-09-23
97603,95,321.8,2020-09-23
97623,-1,-1,2020-09-23
97624,18,514.3,2020-09-23
97630,27,529.8,2020-09-23
97632,-1,-1,2020-09-23
97633,13,955.2,2020-09-23
97641,0,0,2020-09-23
97701,206,349.2,2020-09-23
97702,245,603.7,2020-09-23
97703,105,316.4,2020-09-23
97707,-1,-1,2020-09-23
97708,-1,-1,2020-09-23
97720,-1,-1,2020-09-23
97734,21,753.8,2020-09-23
97738,-1,-1,2020-09-23
97739,20,181.5,2020-09-23
97741,174,1460.7,2020-09-23
97753,-1,-1,2020-09-23
97754,57,306.9,2020-09-23
97756,149,444.1,2020-09-23
97759,25,397.2,2020-09-23
97760,25,370,2020-09-23
97761,304,7624.8,2020-09-23
97801,572,2657.9,2020-09-23
97813,10,768,2020-09-23
97814,84,678.4,2020-09-23
97818,341,8199.1,2020-09-23
97820,0,0,2020-09-23
97824,10,602,2020-09-23
97826,25,2304.1,2020-09-23
97827,14,532.7,2020-09-23
97828,15,480.2,2020-09-23
97836,11,554.7,2020-09-23
97838,1528,6028.6,2020-09-23
97844,130,3415.7,2020-09-23
97845,-1,-1,2020-09-23
97846,-1,-1,2020-09-23
97850,379,2235.3,2020-09-23
97862,148,1268.6,2020-09-23
97865,-1,-1,2020-09-23
97868,22,1105,2020-09-23
97869,-1,-1,2020-09-23
97875,127,4865.9,2020-09-23
97882,457,5889.2,2020-09-23
97883,10,404.4,2020-09-23
97885,-1,-1,2020-09-23
97886,12,1052.6,2020-09-23
97913,245,4432.8,2020-09-23
97914,1150,5988,2020-09-23
97918,112,2468.6,2020-09-23
