zip,count,rate_10k,date
97002,48,853.6,2020-10-07
97003,263,1016.1,2020-10-07
97004,24,546.9,2020-10-07
97005,319,1280.8,2020-10-07
97006,391,620.3,2020-10-07
97007,359,536.2,2020-10-07
97008,214,738.7,2020-10-07
97009,64,824.5,2020-10-07
97013,278,1225.3,2020-10-07
97014,-1,-1,2020-10-07
97015,207,1060.4,2020-10-07
97016,32,526.1,2020-10-07
97017,-1,-1,2020-10-07
97018,12,614.8,2020-10-07
97019,34,1075.6,2020-10-07
97021,-1,-1,2020-10-07
97022,24,644.8,2020-10-07
97023,54,549.2,2020-10-07
97024,241,2353.1,2020-10-07
97026,132,3460,2020-10-07
97027,56,461.6,2020-10-07
97030,541,1474.4,2020-10-07
97031,198,1077.6,2020-10-07
97032,118,2339.9,2020-10-07
97034,84,444.3,2020-10-07
97035,99,414,2020-10-07
97038,112,741.1,2020-10-07
97040,10,803.9,2020-10-07
97041,36,1278,2020-10-07
97042,22,752.7,2020-10-07
97045,363,706.8,2020-10-07
97048,39,582.9,2020-10-07
97049,-1,-1,2020-10-07
97051,69,432.4,2020-10-07
97053,-1,-1,2020-10-07
97054,-1,-1,2020-10-07
97055,78,449.6,2020-10-07
97056,40,347.9,2020-10-07
97058,263,1325.7,2020-10-07
97060,281,1323.8,2020-10-07
97062,281,1024.3,2020-10-07
97063,-1,-1,2020-10-07
97064,12,346.4,2020-10-07
97067,13,608,2020-10-07
97068,103,363.9,2020-10-07
97070,174,830.3,2020-10-07
97071,1093,3794.7,2020-10-07
97078,275,1283.2,2020-10-07
97080,572,1398.9,2020-10-07
97086,239,918.9,2020-10-07
97089,106,884.4,2020-10-07
97101,27,711.6,2020-10-07
97103,73,433,2020-10-07
97106,33,725.3,2020-10-07
97107,-1,-1,2020-10-07
97110,-1,-1,2020-10-07
97111,16,507,2020-10-07
97112,-1,-1,2020-10-07
97113,302,2133.5,2020-10-07
97114,54,1134,2020-10-07
97115,24,579.9,2020-10-07
97116,314,1302.7,2020-10-07
97119,19,429.9,2020-10-07
97121,12,867.7,2020-10-07
97123,641,1439.3,2020-10-07
97124,395,817,2020-10-07
97127,34,909.1,2020-10-07
97128,434,1200.9,2020-10-07
97131,-1,-1,2020-10-07
97132,174,615.3,2020-10-07
97133,13,325,2020-10-07
97136,-1,-1,2020-10-07
97137,-1,-1,2020-10-07
97138,30,299.4,2020-10-07
97140,96,409,2020-10-07
97141,36,274,2020-10-07
97146,84,1422.5,2020-10-07
97148,19,557.8,2020-10-07
97201,74,477.9,2020-10-07
97202,179,461.8,2020-10-07
97203,341,1098.5,2020-10-07
97204,-1,-1,2020-10-07
97205,25,325.2,2020-10-07
97206,309,649.2,2020-10-07
97209,141,943.1,2020-10-07
97210,47,431.7,2020-10-07
97211,196,627.1,2020-10-07
97212,100,414.5,2020-10-07
97213,147,503.1,2020-10-07
97214,155,650.9,2020-10-07
97215,114,696.2,2020-10-07
97216,172,1103,2020-10-07
97217,201,639.4,2020-10-07
97218,191,1311.7,2020-10-07
97219,185,477.9,2020-10-07
97220,337,1182.7,2020-10-07
97221,49,421.3,2020-10-07
97222,235,671.8,2020-10-07
97223,300,642.4,2020-10-07
97224,193,620.1,2020-10-07
97225,151,624.6,2020-10-07
97227,29,753.8,2020-10-07
97229,255,438,2020-10-07
97230,561,1411.2,2020-10-07
97231,19,443.9,2020-10-07
97232,44,383.5,2020-10-07
97233,893,2268.4,2020-10-07
97236,813,2206.1,2020-10-07
97239,79,558.3,2020-10-07
97266,428,1285.3,2020-10-07
97267,186,603.1,2020-10-07
97301,820,1532.2,2020-10-07
97302,250,673.3,2020-10-07
97303,470,1215.6,2020-10-07
97304,309,1086,2020-10-07
97305,852,2120.7,2020-10-07
97306,268,979.5,2020-10-07
97317,295,1211.3,2020-10-07
97321,128,513.5,2020-10-07
97322,224,658.1,2020-10-07
97324,-1,-1,2020-10-07
97325,45,680.4,2020-10-07
97327,-1,-1,2020-10-07
97330,166,400.3,2020-10-07
97331,27,1121.3,2020-10-07
97333,75,350.8,2020-10-07
97338,59,294.3,2020-10-07
97341,-1,-1,2020-10-07
97344,-1,-1,2020-10-07
97347,-1,-1,2020-10-07
97348,-1,-1,2020-10-07
97351,101,979.9,2020-10-07
97352,24,428.3,2020-10-07
