zip,count,rate_10k,date
97002,52,924.8,2020-10-21
97003,293,1132,2020-10-21
97004,25,569.7,2020-10-21
97005,357,1433.4,2020-10-21
97006,427,677.4,2020-10-21
97007,405,604.9,2020-10-21
97008,237,818.1,2020-10-21
97009,81,1043.5,2020-10-21
97013,314,1384,2020-10-21
97014,-1,-1,2020-10-21
97015,235,1203.8,2020-10-21
97016,37,608.3,2020-10-21
97017,-1,-1,2020-10-21
97018,13,666,2020-10-21
97019,38,1202.2,2020-10-21
97021,-1,-1,2020-10-21
97022,33,886.6,2020-10-21
97023,61,620.4,2020-10-21
97024,280,2733.8,2020-10-21
97026,134,3512.5,2020-10-21
97027,67,552.3,2020-10-21
97030,596,1624.3,2020-10-21
97031,203,1104.8,2020-10-21
97032,121,2399.4,2020-10-21
97034,90,476.1,2020-10-21
97035,116,485.1,2020-10-21
97038,121,800.6,2020-10-21
97040,10,803.9,2020-10-21
97041,41,1455.4,2020-10-21
97042,23,786.9,2020-10-21
97045,418,813.9,2020-10-21
97048,53,792.1,2020-10-21
97049,-1,-1,2020-10-21
97051,77,482.5,2020-10-21
97053,-1,-1,2020-10-21
97054,-1,-1,2020-10-21
97055,91,524.5,2020-10-21
97056,51,443.6,2020-10-21
97058,293,1477,2020-10-21
97060,316,1488.7,2020-10-21
97062,324,1181,2020-10-21
97063,-1,-1,2020-10-21
97064,12,346.4,2020-10-21
97067,14,654.8,2020-10-21
97068,118,416.9,2020-10-21
97070,186,887.5,2020-10-21
97071,1150,3992.6,2020-10-21
97078,309,1441.8,2020-10-21
97080,647,1582.4,2020-10-21
97086,281,1080.4,2020-10-21
97089,121,1009.5,2020-10-21
97101,30,790.7,2020-10-21
97103,80,474.5,2020-10-21
97106,33,725.3,2020-10-21
97107,0,0,2020-10-21
97110,-1,-1,2020-10-21
97111,19,602,2020-10-21
97112,0,0,2020-10-21
97113,349,2465.6,2020-10-21
97114,58,1218,2020-10-21
97115,33,797.3,2020-10-21
97116,360,1493.5,2020-10-21
97119,25,565.6,2020-10-21
97121,12,867.7,2020-10-21
97123,715,1605.4,2020-10-21
97124,438,905.9,2020-10-21
97127,37,989.3,2020-10-21
97128,493,1364.1,2020-10-21
97131,-1,-1,2020-10-21
97132,218,770.9,2020-10-21
97133,14,350,2020-10-21
97136,-1,-1,2020-10-21
97137,-1,-1,2020-10-21
97138,30,299.4,2020-10-21
97140,104,443,2020-10-21
97141,43,327.2,2020-10-21
97146,87,1473.3,2020-10-21
97148,19,557.8,2020-10-21
97201,95,613.5,2020-10-21
97202,187,482.4,2020-10-21
97203,387,1246.7,2020-10-21
97204,10,965.3,2020-10-21
97205,29,377.2,2020-10-21
97206,351,737.5,2020-10-21
97209,163,1090.3,2020-10-21
97210,54,496,2020-10-21
97211,235,751.9,2020-10-21
97212,111,460.1,2020-10-21
97213,175,598.9,2020-10-21
97214,166,697.1,2020-10-21
97215,116,708.4,2020-10-21
97216,207,1327.4,2020-10-21
97217,232,738,2020-10-21
97218,218,1497.1,2020-10-21
97219,220,568.3,2020-10-21
97220,396,1389.7,2020-10-21
97221,59,507.3,2020-10-21
97222,268,766.2,2020-10-21
97223,325,695.9,2020-10-21
97224,222,713.3,2020-10-21
97225,165,682.5,2020-10-21
97227,40,1039.8,2020-10-21
97229,290,498.1,2020-10-21
97230,628,1579.8,2020-10-21
97231,21,490.7,2020-10-21
97232,59,514.3,2020-10-21
97233,1010,2565.6,2020-10-21
97236,898,2436.8,2020-10-21
97239,94,664.3,2020-10-21
97266,467,1402.4,2020-10-21
97267,227,736.1,2020-10-21
97301,936,1748.9,2020-10-21
97302,286,770.2,2020-10-21
97303,523,1352.7,2020-10-21
97304,350,1230.1,2020-10-21
97305,949,2362.1,2020-10-21
97306,297,1085.5,2020-10-21
97317,354,1453.5,2020-10-21
97321,166,665.9,2020-10-21
97322,267,784.4,2020-10-21
97324,-1,-1,2020-10-21
97325,50,756,2020-10-21
97327,-1,-1,2020-10-21
97330,194,467.8,2020-10-21
97331,28,1162.8,2020-10-21
97333,91,425.7,2020-10-21
97386,38,280.1,2020-10-21
97338,74,369.2,2020-10-21
97341,-1,-1,2020-10-21
97344,-1,-1,2020-10-21
97347,10,532.5,2020-10-21
97348,-1,-1,2020-10-21
97351,110,1067.2,2020-10-21
97352,25,446.1,2020-10-21
97355,173,604.6,2020-10-21
97358,-1,-1,2020-10-21
97360,-1,-1,2020-10-21
97361,79,701.7,2020-10-21
97362,72,1659.8,2020-10-21
97365,323,3006.3,2020-10-21
97366,10,684.9,2020-10-21
97367,97,1030.2,2020-10-21
97368,-1,-1,2020-10-21
97370,47,568.3,2020-10-21
97374,23,436.8,2020-10-21
97375,16,1278,2020-10-21
97376,-1,-1,2020-10-21
97378,31,349,2020-10-21
97380,13,530.8,2020-10-21
97381,149,1012.8,2020-10-21
97383,79,824,2020-10-21
97385,27,829,2020-10-21
97389,15,895,2020-10-21
97391,28,524,2020-10-21
97392,46,886.1,2020-10-21
97394,-1,-1,2020-10-21
97396,-1,-1,2020-10-21
97401,465,1147.6,2020-10-21
97402,312,619.8,2020-10-21
97403,136,1170.2,2020-10-21
97404,174,539.5,2020-10-21
97405,132,295.7,2020-10-21
97408,79,674.6,2020-10-21
97411,-1,-1,2020-10-21
97415,45,320.3,2020-10-21
97417,-1,-1,2020-10-21
97419,-1,-1,2020-10-21
97420,123,447.7,2020-10-21
97423,13,190.9,2020-10-21
97424,63,358.1,2020-10-21
97426,26,267.6,2020-10-21
97431,-1,-1,2020-10-21
97435,-1,-1,2020-10-21
97437,-1,-1,2020-10-21
97438,-1,-1,2020-10-21
97439,30,209.2,2020-10-21
97442,-1,-1,2020-10-21
97443,-1,-1,2020-10-21
97444,-1,-1,2020-10-21
97446,48,997.5,2020-10-21
97448,44,359.4,2020-10-21
97449,-1,-1,2020-10-21
97452,-1,-1,2020-10-21
97454,-1,-1,2020-10-21
97455,12,472.8,2020-10-21
97456,12,402,2020-10-21
97457,39,382.1,2020-10-21
97458,-1,-1,2020-10-21
97459,65,461.1,2020-10-21
97462,14,355.5,2020-10-21
97463,13,335.3,2020-10-21
97465,-1,-1,2020-10-21
97467,-1,-1,2020-10-21
97469,-1,-1,2020-10-21
97470,59,295.2,2020-10-21
97471,80,274.9,2020-10-21
97477,185,501.7,2020-10-21
97478,211,570.1,2020-10-21
97479,50,526,2020-10-21
97487,44,520.8,2020-10-21
97488,-1,-1,2020-10-21
97495,-1,-1,2020-10-21
97496,14,183.4,2020-10-21
97497,0,0,2020-10-21
97498,-1,-1,2020-10-21
97499,-1,-1,2020-10-21
97501,525,1246.5,2020-10-21
97502,158,570.5,2020-10-21
97503,188,1785.7,2020-10-21
97504,308,693,2020-10-21
97520,79,322.9,2020-10-21
97523,15,239.5,2020-10-21
97524,91,629.4,2020-10-21
97525,21,456.4,2020-10-21
97526,106,309.9,2020-10-21
97527,102,302.6,2020-10-21
97530,20,289.2,2020-10-21
97532,-1,-1,2020-10-21
97535,31,614.2,2020-10-21
97537,22,318,2020-10-21
97538,-1,-1,2020-10-21
97539,-1,-1,2020-10-21
97540,50,630.5,2020-10-21
97541,-1,-1,2020-10-21
97544,0,0,2020-10-21
97601,139,618.9,2020-10-21
97603,182,616.4,2020-10-21
97623,-1,-1,2020-10-21
97624,28,800,2020-10-21
97630,34,667.2,2020-10-21
97632,-1,-1,2020-10-21
97633,13,955.2,2020-10-21
97641,0,0,2020-10-21
97701,270,457.7,2020-10-21
97702,322,793.4,2020-10-21
97703,160,482.1,2020-10-21
97707,13,223.6,2020-10-21
97708,-1,-1,2020-10-21
97720,-1,-1,2020-10-21
97734,31,1112.7,2020-10-21
97738,-1,-1,2020-10-21
97739,24,217.8,2020-10-21
97741,205,1721,2020-10-21
97753,-1,-1,2020-10-21
97754,78,419.9,2020-10-21
97756,208,619.9,2020-10-21
97759,35,556.1,2020-10-21
97760,36,532.8,2020-10-21
97761,339,8502.6,2020-10-21
97801,744,3457.1,2020-10-21
97813,10,768,2020-10-21
97814,103,831.9,2020-10-21
97818,375,9016.6,2020-10-21
97820,0,0,2020-10-21
97824,11,662.3,2020-10-21
97826,28,2580.6,2020-10-21
97827,22,837.1,2020-10-21
97828,18,576.2,2020-10-21
97836,12,605.1,2020-10-21
97838,1628,6423.1,2020-10-21
97844,139,3652.1,2020-10-21
97845,-1,-1,2020-10-21
97846,-1,-1,2020-10-21
97850,389,2294.3,2020-10-21
97862,174,1491.5,2020-10-21
97865,-1,-1,2020-10-21
97868,25,1255.7,2020-10-21
97869,-1,-1,2020-10-21
97875,136,5210.7,2020-10-21
97882,489,6301.5,2020-10-21
97883,11,444.8,2020-10-21
97885,14,1012.3,2020-10-21
97886,13,1140.4,2020-10-21
97913,305,5518.4,2020-10-21
97914,1359,7076.3,2020-10-21
97918,146,3218,2020-10-21
