ZIP Code,Case Count,"Cases Per 100,000",report_date
97002,121,2151.9,2020-12-02
97003,542,2094,2020-12-02
97004,51,1162.3,2020-12-02
97005,678,2722.2,2020-12-02
97006,874,1386.5,2020-12-02
97007,875,1306.9,2020-12-02
97008,488,1684.6,2020-12-02
97009,185,2383.4,2020-12-02
97013,595,2622.5,2020-12-02
97014,18,1397.5,2020-12-02
97015,602,3083.9,2020-12-02
97016,53,871.3,2020-12-02
97017,17,581.8,2020-12-02
97018,24,1229.5,2020-12-02
97019,59,1866.5,2020-12-02
97021,-1,0,2020-12-02
97022,53,1424,2020-12-02
97023,153,1556.1,2020-12-02
97024,470,4588.9,2020-12-02
97026,186,4875.5,2020-12-02
97027,145,1195.3,2020-12-02
97030,1341,3654.6,2020-12-02
97031,336,1828.6,2020-12-02
97032,188,3727.9,2020-12-02
97034,219,1158.4,2020-12-02
97035,266,1112.4,2020-12-02
97038,264,1746.8,2020-12-02
97040,13,1045,2020-12-02
97041,58,2058.9,2020-12-02
97042,39,1334.2,2020-12-02
97045,923,1797.2,2020-12-02
97048,86,1285.3,2020-12-02
97049,18,947.9,2020-12-02
97051,170,1065.4,2020-12-02
97053,27,831.5,2020-12-02
97054,-1,0,2020-12-02
97055,328,1890.5,2020-12-02
97056,150,1304.7,2020-12-02
97058,489,2465,2020-12-02
97060,646,3043.4,2020-12-02
97062,652,2376.6,2020-12-02
97063,-1,0,2020-12-02
97064,25,721.7,2020-12-02
97067,24,1122.5,2020-12-02
97068,316,1116.4,2020-12-02
97070,372,1775.1,2020-12-02
97071,1767,6134.8,2020-12-02
97078,574,2678.4,2020-12-02
97080,1239,3030.2,2020-12-02
97086,661,2541.3,2020-12-02
97089,277,2311,2020-12-02
97101,50,1317.9,2020-12-02
97103,130,771.1,2020-12-02
97106,49,1076.9,2020-12-02
97107,-1,0,2020-12-02
97110,-1,0,2020-12-02
97111,51,1616,2020-12-02
97112,12,631.2,2020-12-02
97113,638,4507.2,2020-12-02
97114,147,3086.9,2020-12-02
97115,56,1353,2020-12-02
97116,699,2899.9,2020-12-02
97119,50,1131.2,2020-12-02
97121,12,867.7,2020-12-02
97123,1383,3105.3,2020-12-02
97124,888,1836.6,2020-12-02
97127,86,2299.5,2020-12-02
97128,838,2318.7,2020-12-02
97131,-1,0,2020-12-02
97132,457,1616.1,2020-12-02
97133,58,1450,2020-12-02
97136,10,567.9,2020-12-02
97137,19,1453.7,2020-12-02
97138,96,958,2020-12-02
97140,322,1371.7,2020-12-02
97141,85,646.9,2020-12-02
97146,105,1778.2,2020-12-02
97148,36,1057,2020-12-02
97201,185,1194.8,2020-12-02
97202,417,1075.8,2020-12-02
97203,756,2435.4,2020-12-02
97204,27,2606.2,2020-12-02
97205,62,806.5,2020-12-02
97206,826,1735.4,2020-12-02
97209,512,3424.7,2020-12-02
97210,100,918.5,2020-12-02
97211,482,1542.2,2020-12-02
97212,227,940.9,2020-12-02
97213,405,1386.1,2020-12-02
97214,282,1184.2,2020-12-02
97215,233,1422.9,2020-12-02
97216,457,2930.6,2020-12-02
97217,520,1654,2020-12-02
97218,530,3639.9,2020-12-02
97219,461,1190.9,2020-12-02
97220,819,2874.2,2020-12-02
97221,111,954.4,2020-12-02
97222,585,1672.4,2020-12-02
97223,780,1670.3,2020-12-02
97224,482,1548.7,2020-12-02
97225,296,1224.4,2020-12-02
97227,82,2131.5,2020-12-02
97229,633,1087.3,2020-12-02
97230,1393,3504.2,2020-12-02
97231,41,957.9,2020-12-02
97232,155,1351.1,2020-12-02
97233,1918,4872.1,2020-12-02
97236,1709,4637.5,2020-12-02
97239,189,1335.7,2020-12-02
97266,1110,3333.3,2020-12-02
97267,529,1715.4,2020-12-02
97301,1695,3167.2,2020-12-02
97302,569,1532.4,2020-12-02
97303,962,2488.2,2020-12-02
97304,624,2193,2020-12-02
97305,1601,3985,2020-12-02
97306,549,2006.6,2020-12-02
97317,717,2944,2020-12-02
97321,360,1444.2,2020-12-02
97322,509,1495.3,2020-12-02
97324,11,976.9,2020-12-02
97325,103,1557.3,2020-12-02
97327,19,661.8,2020-12-02
97330,390,940.4,2020-12-02
97331,35,1453.5,2020-12-02
97333,204,954.3,2020-12-02
97338,184,917.9,2020-12-02
97341,10,430.1,2020-12-02
97344,-1,0,2020-12-02
97347,25,1331.2,2020-12-02
97348,25,1538.5,2020-12-02
97351,291,2823.3,2020-12-02
97352,67,1195.6,2020-12-02
97355,410,1432.9,2020-12-02
97358,16,621.1,2020-12-02
97360,11,489.1,2020-12-02
97361,180,1598.9,2020-12-02
97362,135,3112,2020-12-02
97365,366,3406.6,2020-12-02
97366,10,684.9,2020-12-02
97367,124,1316.9,2020-12-02
97368,14,407.6,2020-12-02
97370,77,931,2020-12-02
97374,51,968.5,2020-12-02
97375,20,1597.4,2020-12-02
97376,-1,0,2020-12-02
97378,58,653,2020-12-02
97380,37,1510.8,2020-12-02
97381,261,1774.2,2020-12-02
97383,166,1731.5,2020-12-02
97385,47,1443,2020-12-02
97386,109,803.4,2020-12-02
