zip,count,rate_10k,date
97002,47,835.9,2020-09-16
97003,224,865.4,2020-09-16
97004,20,455.8,2020-09-16
97005,288,1156.3,2020-09-16
97006,331,525.1,2020-09-16
97007,291,434.6,2020-09-16
97008,188,649,2020-09-16
97009,61,785.9,2020-09-16
97013,254,1119.5,2020-09-16
97014,-1,-1,2020-09-16
97015,165,845.2,2020-09-16
97016,21,345.2,2020-09-16
97017,-1,-1,2020-09-16
97018,-1,-1,2020-09-16
97019,34,1075.6,2020-09-16
97021,-1,-1,2020-09-16
97022,18,483.6,2020-09-16
97023,46,467.9,2020-09-16
97024,220,2148,2020-09-16
97026,113,2962,2020-09-16
97027,50,412.2,2020-09-16
97030,464,1264.5,2020-09-16
97031,186,1012.2,2020-09-16
97032,109,2161.4,2020-09-16
97034,65,343.8,2020-09-16
97035,80,334.6,2020-09-16
97038,96,635.2,2020-09-16
97040,10,803.9,2020-09-16
97041,32,1136,2020-09-16
97042,17,581.6,2020-09-16
97045,292,568.5,2020-09-16
97048,26,388.6,2020-09-16
97049,-1,-1,2020-09-16
97051,45,282,2020-09-16
97053,-1,-1,2020-09-16
97054,-1,-1,2020-09-16
97055,69,397.7,2020-09-16
97056,28,243.5,2020-09-16
97058,205,1033.4,2020-09-16
97060,237,1116.6,2020-09-16
97062,257,936.8,2020-09-16
97063,-1,-1,2020-09-16
97064,-1,-1,2020-09-16
97067,13,608,2020-09-16
97068,82,289.7,2020-09-16
97070,149,711,2020-09-16
97071,984,3416.3,2020-09-16
97078,248,1157.2,2020-09-16
97080,497,1215.5,2020-09-16
97086,199,765.1,2020-09-16
97089,81,675.8,2020-09-16
97101,25,658.9,2020-09-16
97103,47,278.8,2020-09-16
97106,27,593.4,2020-09-16
97107,0,0,2020-09-16
97110,-1,-1,2020-09-16
97111,15,475.3,2020-09-16
97112,0,0,2020-09-16
97113,261,1843.9,2020-09-16
97114,46,966,2020-09-16
97115,22,531.5,2020-09-16
97116,263,1091.1,2020-09-16
97119,15,339.4,2020-09-16
97121,-1,-1,2020-09-16
97123,562,1261.9,2020-09-16
97124,333,688.7,2020-09-16
97127,23,615,2020-09-16
97128,379,1048.7,2020-09-16
97131,-1,-1,2020-09-16
97132,149,526.9,2020-09-16
97133,13,325,2020-09-16
97136,-1,-1,2020-09-16
97137,-1,-1,2020-09-16
97138,18,179.6,2020-09-16
97140,85,362.1,2020-09-16
97141,29,220.7,2020-09-16
97146,24,406.4,2020-09-16
97148,18,528.5,2020-09-16
97201,62,400.4,2020-09-16
97202,157,405,2020-09-16
97203,318,1024.4,2020-09-16
97204,-1,-1,2020-09-16
97205,20,260.1,2020-09-16
97206,279,586.2,2020-09-16
97209,118,789.3,2020-09-16
97210,41,376.6,2020-09-16
97211,173,553.5,2020-09-16
97212,81,335.7,2020-09-16
97213,135,462,2020-09-16
97214,137,575.3,2020-09-16
97215,102,622.9,2020-09-16
97216,152,974.7,2020-09-16
97217,172,547.1,2020-09-16
97218,175,1201.8,2020-09-16
97219,149,384.9,2020-09-16
97220,287,1007.2,2020-09-16
97221,37,318.1,2020-09-16
97222,198,566.1,2020-09-16
97223,254,543.9,2020-09-16
97224,159,510.9,2020-09-16
97225,121,500.5,2020-09-16
97227,18,467.9,2020-09-16
97229,210,360.7,2020-09-16
97230,492,1237.7,2020-09-16
97231,18,420.6,2020-09-16
97232,39,340,2020-09-16
97233,742,1884.8,2020-09-16
97236,738,2002.6,2020-09-16
97239,68,480.6,2020-09-16
97266,353,1060.1,2020-09-16
97267,160,518.8,2020-09-16
97301,705,1317.3,2020-09-16
97302,211,568.3,2020-09-16
97303,403,1042.3,2020-09-16
97304,276,970,2020-09-16
97305,717,1784.6,2020-09-16
97306,221,807.7,2020-09-16
97317,254,1042.9,2020-09-16
97321,110,441.3,2020-09-16
97322,163,478.9,2020-09-16
97324,-1,-1,2020-09-16
97325,37,559.4,2020-09-16
97327,-1,-1,2020-09-16
97330,130,313.5,2020-09-16
97331,-1,-1,2020-09-16
97333,52,243.3,2020-09-16
97338,52,259.4,2020-09-16
97341,-1,-1,2020-09-16
97344,-1,-1,2020-09-16
97347,-1,-1,2020-09-16
97348,-1,-1,2020-09-16
97351,85,824.7,2020-09-16
97352,18,321.2,2020-09-16
97355,95,332,2020-09-16
97358,0,0,2020-09-16
