zip,count,rate_10k,date
97002,63,1120,2020-10-28
97003,312,1205.4,2020-10-28
97004,25,569.7,2020-10-28
97005,379,1521.7,2020-10-28
97006,467,740.8,2020-10-28
97007,433,646.7,2020-10-28
97008,255,880.3,2020-10-28
97009,94,1211,2020-10-28
97013,335,1476.6,2020-10-28
97014,-1,-1,2020-10-28
97015,255,1306.3,2020-10-28
97016,37,608.3,2020-10-28
97017,-1,-1,2020-10-28
97018,13,666,2020-10-28
97019,39,1233.8,2020-10-28
97021,-1,-1,2020-10-28
97022,34,913.5,2020-10-28
97023,64,650.9,2020-10-28
97024,287,2802.2,2020-10-28
97026,140,3669.7,2020-10-28
97027,72,593.5,2020-10-28
97030,656,1787.8,2020-10-28
97031,210,1142.9,2020-10-28
97032,125,2478.7,2020-10-28
97034,95,502.5,2020-10-28
97035,120,501.8,2020-10-28
97038,130,860.2,2020-10-28
97040,10,803.9,2020-10-28
97041,42,1490.9,2020-10-28
97042,25,855.3,2020-10-28
97045,432,841.1,2020-10-28
97048,57,851.9,2020-10-28
97049,-1,-1,2020-10-28
97051,82,513.9,2020-10-28
97053,-1,-1,2020-10-28
97054,-1,-1,2020-10-28
97055,95,547.6,2020-10-28
97056,57,495.8,2020-10-28
97058,308,1552.6,2020-10-28
97060,350,1648.9,2020-10-28
97062,374,1363.3,2020-10-28
97063,-1,-1,2020-10-28
97064,12,346.4,2020-10-28
97067,14,654.8,2020-10-28
97068,128,452.2,2020-10-28
97070,198,944.8,2020-10-28
97071,1201,4169.7,2020-10-28
97078,322,1502.5,2020-10-28
97080,694,1697.3,2020-10-28
97086,300,1153.4,2020-10-28
97089,129,1076.3,2020-10-28
97101,32,843.4,2020-10-28
97103,83,492.3,2020-10-28
97106,35,769.2,2020-10-28
97107,-1,-1,2020-10-28
97110,-1,-1,2020-10-28
97111,19,602,2020-10-28
97112,0,0,2020-10-28
97113,373,2635.1,2020-10-28
97114,61,1281,2020-10-28
97115,35,845.6,2020-10-28
97116,395,1638.7,2020-10-28
97119,26,588.2,2020-10-28
97121,12,867.7,2020-10-28
97123,756,1697.5,2020-10-28
97124,470,972.1,2020-10-28
97127,39,1042.8,2020-10-28
97128,521,1441.6,2020-10-28
97131,-1,-1,2020-10-28
97132,226,799.2,2020-10-28
97133,15,375,2020-10-28
97136,-1,-1,2020-10-28
97137,-1,-1,2020-10-28
97138,31,309.4,2020-10-28
97140,114,485.6,2020-10-28
97141,43,327.2,2020-10-28
97146,92,1558,2020-10-28
97148,22,645.9,2020-10-28
97201,101,652.3,2020-10-28
97202,201,518.5,2020-10-28
97203,405,1304.7,2020-10-28
97204,11,1061.8,2020-10-28
97205,31,403.2,2020-10-28
97206,379,796.3,2020-10-28
97209,170,1137.1,2020-10-28
97210,55,505.2,2020-10-28
97211,244,780.7,2020-10-28
97212,117,485,2020-10-28
97213,182,622.9,2020-10-28
97214,171,718.1,2020-10-28
97215,126,769.5,2020-10-28
97216,222,1423.6,2020-10-28
97217,252,801.6,2020-10-28
97218,236,1620.8,2020-10-28
97219,238,614.8,2020-10-28
97220,436,1530.1,2020-10-28
97221,67,576.1,2020-10-28
97222,285,814.8,2020-10-28
97223,346,740.9,2020-10-28
97224,239,767.9,2020-10-28
97225,177,732.1,2020-10-28
97227,43,1117.8,2020-10-28
97229,310,532.5,2020-10-28
97230,679,1708.1,2020-10-28
97231,22,514,2020-10-28
97232,64,557.9,2020-10-28
97233,1110,2819.6,2020-10-28
97236,949,2575.2,2020-10-28
97239,105,742,2020-10-28
97266,493,1480.5,2020-10-28
97267,253,820.4,2020-10-28
97301,1008,1883.5,2020-10-28
97302,303,816,2020-10-28
97303,548,1417.4,2020-10-28
97304,359,1261.7,2020-10-28
97305,1010,2513.9,2020-10-28
97306,318,1162.3,2020-10-28
97317,382,1568.5,2020-10-28
97321,177,710,2020-10-28
97322,281,825.5,2020-10-28
97324,-1,-1,2020-10-28
97325,52,786.2,2020-10-28
97327,-1,-1,2020-10-28
97330,209,504,2020-10-28
97331,29,1204.3,2020-10-28
97333,95,444.4,2020-10-28
97338,78,389.1,2020-10-28
97341,-1,-1,2020-10-28
97344,-1,-1,2020-10-28
97347,10,532.5,2020-10-28
97348,-1,-1,2020-10-28
97351,114,1106,2020-10-28
97352,27,481.8,2020-10-28
97355,192,671,2020-10-28
97358,-1,-1,2020-10-28
97360,-1,-1,2020-10-28
97361,84,746.1,2020-10-28
97362,74,1705.9,2020-10-28
97365,328,3052.9,2020-10-28
97366,10,684.9,2020-10-28
97367,97,1030.2,2020-10-28
97368,-1,-1,2020-10-28
97370,51,616.6,2020-10-28
97374,30,569.7,2020-10-28
97375,16,1278,2020-10-28
97376,-1,-1,2020-10-28
97378,32,360.3,2020-10-28
97380,13,530.8,2020-10-28
97381,156,1060.4,2020-10-28
97383,95,990.9,2020-10-28
97385,28,859.7,2020-10-28
97386,42,309.6,2020-10-28
97389,15,895,2020-10-28
97391,28,524,2020-10-28
97392,50,963.2,2020-10-28
97394,10,215.4,2020-10-28
97396,10,317.1,2020-10-28
97401,513,1266,2020-10-28
97402,346,687.3,2020-10-28
97403,160,1376.7,2020-10-28
97404,204,632.5,2020-10-28
97405,141,315.8,2020-10-28
97408,86,734.4,2020-10-28
97411,-1,-1,2020-10-28
97415,45,320.3,2020-10-28
97417,-1,-1,2020-10-28
97419,-1,-1,2020-10-28
97420,131,476.8,2020-10-28
97423,16,235,2020-10-28
97424,71,403.5,2020-10-28
97426,33,339.6,2020-10-28
97431,-1,-1,2020-10-28
97435,-1,-1,2020-10-28
97437,-1,-1,2020-10-28
97438,-1,-1,2020-10-28
97439,31,216.1,2020-10-28
97442,-1,-1,2020-10-28
97443,-1,-1,2020-10-28
97444,-1,-1,2020-10-28
97446,51,1059.9,2020-10-28
97448,49,400.2,2020-10-28
97449,-1,-1,2020-10-28
97452,-1,-1,2020-10-28
97454,-1,-1,2020-10-28
97455,17,669.8,2020-10-28
97456,13,435.5,2020-10-28
97457,43,421.2,2020-10-28
97458,-1,-1,2020-10-28
97459,76,539.2,2020-10-28
97462,16,406.3,2020-10-28
97463,13,335.3,2020-10-28
97465,-1,-1,2020-10-28
97467,-1,-1,2020-10-28
97469,-1,-1,2020-10-28
97470,65,325.2,2020-10-28
97471,91,312.7,2020-10-28
97477,207,561.4,2020-10-28
97478,238,643.1,2020-10-28
97479,54,568.1,2020-10-28
97487,48,568.1,2020-10-28
97488,-1,-1,2020-10-28
97495,-1,-1,2020-10-28
97496,17,222.7,2020-10-28
97497,0,0,2020-10-28
97498,-1,-1,2020-10-28
97499,-1,-1,2020-10-28
97501,582,1381.9,2020-10-28
97502,181,653.6,2020-10-28
97503,207,1966.2,2020-10-28
97504,340,765,2020-10-28
97520,96,392.3,2020-10-28
97523,15,239.5,2020-10-28
97524,98,677.8,2020-10-28
97525,24,521.6,2020-10-28
97526,110,321.6,2020-10-28
97527,105,311.5,2020-10-28
97530,25,361.5,2020-10-28
97532,-1,-1,2020-10-28
97535,34,673.7,2020-10-28
97537,24,346.9,2020-10-28
97538,-1,-1,2020-10-28
97539,-1,-1,2020-10-28
97540,54,681,2020-10-28
97541,-1,-1,2020-10-28
97544,0,0,2020-10-28
97601,141,627.8,2020-10-28
97603,190,643.5,2020-10-28
97623,-1,-1,2020-10-28
97624,30,857.1,2020-10-28
97630,33,647.6,2020-10-28
97632,-1,-1,2020-10-28
97633,13,955.2,2020-10-28
97641,-1,-1,2020-10-28
97701,291,493.3,2020-10-28
97702,339,835.3,2020-10-28
