zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,420,2020-11-25,1379.3103448275863,Warm Springs,3045,49387
97818,416,2020-11-25,895.5866523143164,Boardman,4645,54928
97914,1645,2020-11-25,848.4629667835775,Ontario,19388,37363
97838,1962,2020-11-25,742.9285470862206,Hermiston,26409,53832
97913,405,2020-11-25,719.6162046908315,Nyssa,5628,49789
97882,579,2020-11-25,676.7971946230275,Umatilla,8555,51073
97875,162,2020-11-25,605.1550242809114,Stanfield,2677,58097
97071,1579,2020-11-25,499.636110495839,Woodburn,31603,53329
97918,204,2020-11-25,456.5801253357207,Vale,4468,44641
97801,999,2020-11-25,454.66957946477334,Pendleton,21972,53891
97844,175,2020-11-25,436.0827311238475,Irrigon,4013,58486
97026,174,2020-11-25,418.9742354924151,Gervais,4153,63861
97233,1667,2020-11-25,384.4202564339083,Portland,43364,44978
97236,1447,2020-11-25,364.21757406428554,Portland,39729,53217
97024,411,2020-11-25,352.85027472527474,Fairview,11648,57991
97113,535,2020-11-25,352.3909893294691,Cornelius,15182,62923
97850,580,2020-11-25,332.41632278771203,La Grande,17448,42768
97305,1423,2020-11-25,326.72835395954354,Salem,43553,48604
97365,341,2020-11-25,306.35163058125954,Newport,11131,46167
97032,165,2020-11-25,303.6996134732192,Hubbard,5433,61752
97218,459,2020-11-25,289.9924184988628,Portland,15828,59510
97503,339,2020-11-25,281.53807823270495,White City,12041,53263
97230,1192,2020-11-25,281.47063685092917,Portland,42349,55153
97030,1115,2020-11-25,276.2157207620086,Gresham,40367,52440
97862,301,2020-11-25,260.2680501513186,Milton Freewater,11565,46821
97301,1471,2020-11-25,255.83498556471528,Salem,57498,43425
97266,904,2020-11-25,245.17248860924278,Portland,36872,46821
97501,1119,2020-11-25,245.09911291205782,Medford,45655,43006
97060,539,2020-11-25,244.16761041902606,Troutdale,22075,70029
97114,132,2020-11-25,242.33523040205617,Dayton,5447,67395
97845,63,2020-11-25,240.45801526717557,John Day,2620,48837
97826,32,2020-11-25,239.7003745318352,Echo,1335,53454
97317,622,2020-11-25,237.73123375630638,Salem,26164,59502
97123,1141,2020-11-25,229.99395283209032,Hillsboro,49610,78935
97080,1054,2020-11-25,228.50948509485096,Gresham,46125,75213
97216,380,2020-11-25,218.32806664751507,Portland,17405,50559
97015,485,2020-11-25,214.2888702337295,Clackamas,22633,74846
97633,28,2020-11-25,214.06727828746176,Merrill,1308,49452
97868,44,2020-11-25,212.25277375783887,Pilot Rock,2073,49244
97362,103,2020-11-25,204.60866110448947,Mount Angel,5034,53086
97351,235,2020-11-25,204.08163265306123,Independence,11515,48413
97058,430,2020-11-25,202.77280015090068,The Dalles,21206,51778
97220,673,2020-11-25,201.8596280743851,Portland,33340,53408
97116,580,2020-11-25,200.11731014732774,Forest Grove,28983,62657
97005,560,2020-11-25,197.8169486735667,Beaverton,28309,54232
97741,274,2020-11-25,197.63416041546452,Madras,13864,50018
97303,834,2020-11-25,196.02312790861654,Salem,42546,61298
97078,499,2020-11-25,193.38836569391157,Beaverton,25803,67159
97013,489,2020-11-25,192.87658265294047,Canby,25353,76479
97009,157,2020-11-25,192.61440314071893,Boring,8151,85309
97128,754,2020-11-25,190.53876478318003,Mcminnville,39572,54784
97203,660,2020-11-25,185.08651392355367,Portland,35659,57817
97062,546,2020-11-25,181.95754323991068,Tualatin,30007,86250
97204,20,2020-11-25,174.36791630340016,Portland,1147,14771
97209,359,2020-11-25,174.161936641925,Portland,20613,73208
97002,103,2020-11-25,169.68698517298188,Aurora,6070,73623
97885,25,2020-11-25,165.78249336870027,Wallowa,1508,51842
97019,57,2020-11-25,165.55329654371187,Corbett,3443,79095
