zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,40,2020-11-25,131.36288998357963,Warm Springs,3045,49387
97845,27,2020-11-25,103.05343511450381,John Day,2620,48837
97633,10,2020-11-25,76.4525993883792,Merrill,1308,49452
97630,34,2020-11-25,64.24792139077853,Lakeview,5292,43584
97209,109,2020-11-25,52.87925095813322,Portland,20613,73208
97913,29,2020-11-25,51.528073916133614,Nyssa,5628,49789
97114,28,2020-11-25,51.40444281255737,Dayton,5447,67395
97236,203,2020-11-25,51.096176596440884,Portland,39729,53217
97446,26,2020-11-25,49.14004914004914,Harrisburg,5291,59823
97266,178,2020-11-25,48.27511390757214,Portland,36872,46821
97218,76,2020-11-25,48.016173869092746,Portland,15828,59510
97030,187,2020-11-25,46.32496841479426,Gresham,40367,52440
97883,13,2020-11-25,46.03399433427762,Union,2824,45161
97233,195,2020-11-25,44.968176367493776,Portland,43364,44978
97230,179,2020-11-25,42.267822144560675,Portland,42349,55153
97914,81,2020-11-25,41.77841964101506,Ontario,19388,37363
97875,11,2020-11-25,41.09077325364213,Stanfield,2677,58097
97801,86,2020-11-25,39.14072455852904,Pendleton,21972,53891
97351,45,2020-11-25,39.07946157186279,Independence,11515,48413
97071,121,2020-11-25,38.287504350852764,Woodburn,31603,53329
97838,101,2020-11-25,38.244537846946116,Hermiston,26409,53832
97850,63,2020-11-25,36.10729023383769,La Grande,17448,42768
97015,80,2020-11-25,35.34661777051208,Clackamas,22633,74846
97501,161,2020-11-25,35.26448362720403,Medford,45655,43006
97720,16,2020-11-25,35.08002631001973,Burns,4561,39203
97009,28,2020-11-25,34.35161329898172,Boring,8151,85309
97824,6,2020-11-25,34.227039361095265,Cove,1753,62393
97467,19,2020-11-25,33.825885704112515,Reedsport,5617,38942
97024,39,2020-11-25,33.482142857142854,Fairview,11648,57991
97216,57,2020-11-25,32.74920999712726,Portland,17405,50559
97305,138,2020-11-25,31.685532569513008,Salem,43553,48604
97918,14,2020-11-25,31.33393017009848,Vale,4468,44641
97026,13,2020-11-25,31.302672766674693,Gervais,4153,63861
97032,17,2020-11-25,31.290263206331677,Hubbard,5433,61752
97227,17,2020-11-25,31.061575004567878,Portland,5473,67684
97504,151,2020-11-25,30.79872725789345,Medford,49028,56873
97448,42,2020-11-25,30.541012216404887,Junction City,13752,57776
97882,26,2020-11-25,30.391583869082407,Umatilla,8555,51073
97818,14,2020-11-25,30.139935414424112,Boardman,4645,54928
97844,12,2020-11-25,29.9028158484924,Irrigon,4013,58486
97080,137,2020-11-25,29.70189701897019,Gresham,46125,75213
97113,45,2020-11-25,29.64036358846002,Cornelius,15182,62923
97738,6,2020-11-25,28.66698518872432,Hines,2093,51069
97862,33,2020-11-25,28.53437094682231,Milton Freewater,11565,46821
97503,34,2020-11-25,28.23685740387011,White City,12041,53263
97002,17,2020-11-25,28.00658978583196,Aurora,6070,73623
97089,39,2020-11-25,27.906976744186046,Damascus,13975,103250
97060,61,2020-11-25,27.633069082672705,Troutdale,22075,70029
97734,9,2020-11-25,27.590435315757205,Culver,3262,53777
97632,4,2020-11-25,27.45367192862045,Malin,1457,50988
97220,91,2020-11-25,27.294541091781642,Portland,33340,53408
97603,84,2020-11-25,26.96975534579079,Klamath Falls,31146,44512
97058,57,2020-11-25,26.879185136282185,The Dalles,21206,51778
97062,80,2020-11-25,26.66044589595761,Tualatin,30007,86250
97317,69,2020-11-25,26.37211435560312,Salem,26164,59502
97535,15,2020-11-25,25.79535683576956,Phoenix,5815,44271
97886,3,2020-11-25,25.66295979469632,Weston,1169,61998
97111,9,2020-11-25,25.323579065841304,Carlton,3554,72753
97056,31,2020-11-25,25.252525252525253,Scappoose,12276,64162
97203,90,2020-11-25,25.23907008048459,Portland,35659,57817
97383,26,2020-11-25,25.135344160866204,Stayton,10344,55632
97836,5,2020-11-25,24.752475247524753,Heppner,2020,50209
97042,7,2020-11-25,24.673951357067324,Mulino,2837,91742
97361,31,2020-11-25,24.581714376338116,Monmouth,12611,47043
97127,11,2020-11-25,24.52073116362015,Lafayette,4486,59993
97067,5,2020-11-25,24.437927663734115,Welches,2046,79013
97502,72,2020-11-25,24.278392230914488,Central Point,29656,55522
97133,13,2020-11-25,24.132170038982736,North Plains,5387,88697
97868,5,2020-11-25,24.1196333815726,Pilot Rock,2073,49244
97814,30,2020-11-25,23.80574511982225,Baker City,12602,46509
97123,118,2020-11-25,23.785527111469463,Hillsboro,49610,78935
97301,134,2020-11-25,23.305158440293575,Salem,57498,43425
97463,10,2020-11-25,23.004370830457788,Oakridge,4347,40287
97005,63,2020-11-25,22.254406725776256,Beaverton,28309,54232
97303,94,2020-11-25,22.093733841019134,Salem,42546,61298
97140,63,2020-11-25,21.88183807439825,Sherwood,28791,103356
97759,17,2020-11-25,21.814448864365456,Sisters,7793,75337
97477,83,2020-11-25,21.523221741047116,Springfield,38563,42555
97478,86,2020-11-25,21.438899137458243,Springfield,40114,55845
