zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97267,529,2020-12-02,161.99167074963253,Portland,32656,71640
97206,826,2020-12-02,160.94148822165502,Portland,51323,62204
97008,488,2020-12-02,160.8649789029536,Beaverton,30336,71986
97383,166,2020-12-02,160.47950502706883,Stayton,10344,55632
97734,52,2020-12-02,159.41140404659717,Culver,3262,53777
97222,585,2020-12-02,157.03433280541165,Portland,37253,58020
97381,261,2020-12-02,156.63445958110785,Silverton,16663,71467
97038,264,2020-12-02,153.65811070368432,Molalla,17181,65790
97820,19,2020-12-02,153.47334410339258,Canyon City,1238,56040
97701,613,2020-12-02,152.86020647349258,Bend,40102,60820
97223,780,2020-12-02,152.26048254860623,Portland,51228,83752
97137,19,2020-12-02,152.0,Saint Paul,1250,82775
97227,82,2020-12-02,149.8264206102686,Portland,5473,67684
97824,26,2020-12-02,148.31717056474616,Cove,1753,62393
97603,459,2020-12-02,147.3704488537854,Klamath Falls,31146,44512
97070,372,2020-12-02,146.9716723954012,Wilsonville,25311,80835
97132,457,2020-12-02,145.63880302112878,Newberg,31379,71141
97535,84,2020-12-02,144.45399828030955,Phoenix,5815,44271
97217,520,2020-12-02,143.60277263814862,Portland,36211,69277
97111,51,2020-12-02,143.50028137310073,Carlton,3554,72753
97702,711,2020-12-02,142.96629936459422,Bend,49732,70425
97361,180,2020-12-02,142.73253508841486,Monmouth,12611,47043
97211,482,2020-12-02,141.41117793750917,Portland,34085,80640
97380,37,2020-12-02,140.7379231647014,Siletz,2629,48339
97524,224,2020-12-02,140.1226072813712,Eagle Point,15986,62913
97302,569,2020-12-02,139.49497425839667,Salem,40790,64161
97325,103,2020-12-02,139.13278400648386,Aumsville,7403,66567
97348,25,2020-12-02,137.7410468319559,Halsey,1815,57874
97022,53,2020-12-02,137.5908618899273,Eagle Creek,3852,75311
97042,39,2020-12-02,137.46915756080367,Mulino,2837,91742
97756,552,2020-12-02,137.3134328358209,Redmond,40200,56928
97322,509,2020-12-02,137.0305559294656,Albany,37145,49169
97014,18,2020-12-02,135.6443104747551,Cascade Locks,1327,42854
97883,38,2020-12-02,134.56090651558074,Union,2824,45161
97417,38,2020-12-02,133.42696629213484,Canyonville,2848,40627
97385,47,2020-12-02,133.25772611284378,Sublimity,3527,67784
97402,728,2020-12-02,132.64581017801504,Eugene,54883,44970
97720,60,2020-12-02,131.550098662574,Burns,4561,39203
97023,153,2020-12-02,131.3304721030043,Estacada,11650,75268
97355,410,2020-12-02,131.05322039315965,Lebanon,31285,51381
97321,360,2020-12-02,129.32428063368897,Albany,27837,68304
97601,304,2020-12-02,128.9118819438555,Klamath Falls,23582,36080
97224,482,2020-12-02,128.83222409322963,Portland,37413,78136
97215,233,2020-12-02,128.7577365163572,Portland,18096,85750
97213,405,2020-12-02,128.28634779854292,Portland,31570,73860
97448,173,2020-12-02,125.7998836532868,Junction City,13752,57776
97101,50,2020-12-02,124.47099825740602,Amity,4017,65422
97048,86,2020-12-02,124.13394919168591,Rainier,6928,55360
97836,25,2020-12-02,123.76237623762377,Heppner,2020,50209
97347,25,2020-12-02,122.91052114060963,Grand Ronde,2034,51190
97056,150,2020-12-02,122.18963831867057,Scappoose,12276,64162
97478,489,2020-12-02,121.90257765368699,Springfield,40114,55845
97477,470,2020-12-02,121.87848455773668,Springfield,38563,42555
97115,56,2020-12-02,120.63765618267988,Dundee,4642,85187
97479,121,2020-12-02,119.65981012658227,Sutherlin,10112,48659
97703,367,2020-12-02,118.40237449993548,Bend,30996,78610
97759,92,2020-12-02,118.05466444244836,Sisters,7793,75337
97067,24,2020-12-02,117.30205278592375,Welches,2046,79013
97119,50,2020-12-02,115.15430677107324,Gaston,4342,86088
97225,296,2020-12-02,113.47082726366634,Portland,26086,89522
97140,322,2020-12-02,111.84050571359106,Sherwood,28791,103356
97367,124,2020-12-02,111.83261183261183,Lincoln City,11088,41295
97027,145,2020-12-02,111.54704208016001,Gladstone,12999,68497
97018,24,2020-12-02,111.4723641430562,Columbia City,2153,60643
97219,461,2020-12-02,110.74276928990103,Portland,41628,100306
97419,13,2020-12-02,109.61214165261383,Cheshire,1186,63300
97530,87,2020-12-02,109.22787193973635,Jacksonville,7965,60279
97004,51,2020-12-02,108.76519513755598,Beavercreek,4689,94200
97754,222,2020-12-02,108.1239041496201,Prineville,20532,38952
97034,219,2020-12-02,108.0734307145677,Lake Oswego,20264,142163
97133,58,2020-12-02,107.6666047893076,North Plains,5387,88697
97035,266,2020-12-02,106.62177328843995,Lake Oswego,24948,101507
97624,47,2020-12-02,106.50351234987536,Chiloquin,4413,35870
97331,35,2020-12-02,106.38297872340425,Corvallis,3290,14268
97201,185,2020-12-02,105.50929622447816,Portland,17534,56236
97232,155,2020-12-02,105.27745704000543,Portland,14723,58233
97239,189,2020-12-02,104.8078522708368,Portland,18033,103921
97540,99,2020-12-02,104.69543147208122,Talent,9456,43916
97068,316,2020-12-02,103.65413632487044,West Linn,30486,114441
97827,34,2020-12-02,102.99909118448954,Elgin,3301,41728
97455,24,2020-12-02,102.91595197255575,Pleasant Hill,2332,72818
97404,366,2020-12-02,102.86099713338204,Eugene,35582,60196
97525,53,2020-12-02,100.60744115413819,Gold Hill,5268,50465
97760,83,2020-12-02,100.47209780898196,Terrebonne,8261,67439
97352,67,2020-12-02,100.34446607757975,Jefferson,6677,62500
97408,143,2020-12-02,99.95805955543129,Eugene,14306,69006
97051,170,2020-12-02,99.57825679475164,Saint Helens,17072,52674
97214,282,2020-12-02,98.69457179855108,Portland,28573,59244
97470,205,2020-12-02,98.38268464750205,Roseburg,20837,46149
97148,36,2020-12-02,97.93253536452666,Yamhill,3676,93310
