zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,27,2020-11-18,88.66995073891626,Warm Springs,3045,49387
97738,11,2020-11-18,52.556139512661254,Hines,2093,51069
97024,47,2020-11-18,40.35027472527472,Fairview,11648,57991
97641,5,2020-11-18,39.65107057890563,Christmas Valley,1261,27358
97501,181,2020-11-18,39.645164823129996,Medford,45655,43006
97233,167,2020-11-18,38.51120745318698,Portland,43364,44978
97218,59,2020-11-18,37.27571392469042,Portland,15828,59510
97838,94,2020-11-18,35.59392631299936,Hermiston,26409,53832
97913,20,2020-11-18,35.536602700781806,Nyssa,5628,49789
97114,19,2020-11-18,34.88158619423536,Dayton,5447,67395
97362,17,2020-11-18,33.77036154151768,Mount Angel,5034,53086
97914,63,2020-11-18,32.494326387456155,Ontario,19388,37363
97236,129,2020-11-18,32.469984142565885,Portland,39729,53217
97071,100,2020-11-18,31.642565579217163,Woodburn,31603,53329
97845,8,2020-11-18,30.53435114503817,John Day,2620,48837
97351,35,2020-11-18,30.3951367781155,Independence,11515,48413
97113,46,2020-11-18,30.29903833487024,Cornelius,15182,62923
97467,17,2020-11-18,30.2652661563112,Reedsport,5617,38942
97266,109,2020-11-18,29.561727055760468,Portland,36872,46821
97850,51,2020-11-18,29.22971114167813,La Grande,17448,42768
97882,25,2020-11-18,29.222676797194623,Umatilla,8555,51073
97918,13,2020-11-18,29.09579230080573,Vale,4468,44641
97502,86,2020-11-18,28.99919072025897,Central Point,29656,55522
97030,116,2020-11-18,28.73634404340179,Gresham,40367,52440
97015,65,2020-11-18,28.71912693854107,Clackamas,22633,74846
97801,62,2020-11-18,28.21773165847442,Pendleton,21972,53891
97216,48,2020-11-18,27.57828210284401,Portland,17405,50559
97503,32,2020-11-18,26.57586579187775,White City,12041,53263
97055,52,2020-11-18,26.398619149152196,Sandy,19698,74114
97204,3,2020-11-18,26.155187445510027,Portland,1147,14771
97875,7,2020-11-18,26.14867388868136,Stanfield,2677,58097
97305,111,2020-11-18,25.486189240695246,Salem,43553,48604
97301,141,2020-11-18,24.52259209015966,Salem,57498,43425
97078,62,2020-11-18,24.028213773592217,Beaverton,25803,67159
97032,13,2020-11-18,23.927848334253635,Hubbard,5433,61752
97230,100,2020-11-18,23.613308460648422,Portland,42349,55153
97123,116,2020-11-18,23.38238258415642,Hillsboro,49610,78935
97009,19,2020-11-18,23.31002331002331,Boring,8151,85309
97633,3,2020-11-18,22.93577981651376,Merrill,1308,49452
97014,3,2020-11-18,22.607385079125848,Cascade Locks,1327,42854
97504,110,2020-11-18,22.436158929591254,Medford,49028,56873
97049,5,2020-11-18,22.21235006663705,Rhododendron,2251,72083
97220,74,2020-11-18,22.195560887822435,Portland,33340,53408
97317,57,2020-11-18,21.785659685063447,Salem,26164,59502
97060,48,2020-11-18,21.7440543601359,Troutdale,22075,70029
97862,25,2020-11-18,21.6169476869866,Milton Freewater,11565,46821
97530,17,2020-11-18,21.343377275580664,Jacksonville,7965,60279
97005,60,2020-11-18,21.194673072167863,Beaverton,28309,54232
97535,12,2020-11-18,20.63628546861565,Phoenix,5815,44271
97128,79,2020-11-18,19.96361063378146,Mcminnville,39572,54784
97885,3,2020-11-18,19.893899204244033,Wallowa,1508,51842
97080,91,2020-11-18,19.7289972899729,Gresham,46125,75213
97462,8,2020-11-18,19.66568338249754,Oakland,4068,52371
97026,8,2020-11-18,19.263183241030582,Gervais,4153,63861
97814,24,2020-11-18,19.044596095857802,Baker City,12602,46509
97303,81,2020-11-18,19.03821745875053,Salem,42546,61298
97133,10,2020-11-18,18.56320772229441,North Plains,5387,88697
97206,95,2020-11-18,18.51021958965766,Portland,51323,62204
97203,66,2020-11-18,18.508651392355365,Portland,35659,57817
97002,11,2020-11-18,18.12191103789127,Aurora,6070,73623
97006,81,2020-11-18,18.08439383791025,Beaverton,44790,78544
97007,87,2020-11-18,17.93592545252134,Beaverton,48506,100221
97818,8,2020-11-18,17.222820236813778,Boardman,4645,54928
97267,55,2020-11-18,16.842234198922096,Portland,32656,71640
97381,28,2020-11-18,16.803696813298927,Silverton,16663,71467
97086,54,2020-11-18,16.521340064249657,Happy Valley,32685,98590
97209,34,2020-11-18,16.494445252995682,Portland,20613,73208
97227,9,2020-11-18,16.444363237712405,Portland,5473,67684
97375,2,2020-11-18,16.299918500407497,Scotts Mills,1227,84889
97013,41,2020-11-18,16.171656214254725,Canby,25353,76479
97479,16,2020-11-18,15.822784810126583,Sutherlin,10112,48659
97217,57,2020-11-18,15.741073154566292,Portland,36211,69277
97127,7,2020-11-18,15.60410164957646,Lafayette,4486,59993
97058,33,2020-11-18,15.561633499952844,The Dalles,21206,51778
