zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97761,380,2020-11-18,1247.9474548440066,Warm Springs,3045,49387
97818,402,2020-11-18,865.4467168998924,Boardman,4645,54928
97914,1564,2020-11-18,806.6845471425625,Ontario,19388,37363
97838,1861,2020-11-18,704.6840092392745,Hermiston,26409,53832
97913,376,2020-11-18,668.0881307746979,Nyssa,5628,49789
97882,553,2020-11-18,646.4056107539451,Umatilla,8555,51073
97875,151,2020-11-18,564.0642510272693,Stanfield,2677,58097
97071,1458,2020-11-18,461.34860614498626,Woodburn,31603,53329
97918,190,2020-11-18,425.2461951656222,Vale,4468,44641
97801,913,2020-11-18,415.5288549062443,Pendleton,21972,53891
97844,163,2020-11-18,406.1799152753551,Irrigon,4013,58486
97026,161,2020-11-18,387.67156272574044,Gervais,4153,63861
97233,1472,2020-11-18,339.4520800664145,Portland,43364,44978
97113,490,2020-11-18,322.7506257410091,Cornelius,15182,62923
97024,372,2020-11-18,319.36813186813185,Fairview,11648,57991
97236,1244,2020-11-18,313.12139746784464,Portland,39729,53217
97365,339,2020-11-18,304.5548468241847,Newport,11131,46167
97850,517,2020-11-18,296.3090325538744,La Grande,17448,42768
97305,1285,2020-11-18,295.04282139003055,Salem,43553,48604
97032,148,2020-11-18,272.40935026688754,Hubbard,5433,61752
97503,305,2020-11-18,253.3012208288348,White City,12041,53263
97218,383,2020-11-18,241.97624462977004,Portland,15828,59510
97230,1013,2020-11-18,239.2028147063685,Portland,42349,55153
97301,1337,2020-11-18,232.52982712442173,Salem,57498,43425
97826,31,2020-11-18,232.20973782771534,Echo,1335,53454
97862,268,2020-11-18,231.73367920449633,Milton Freewater,11565,46821
97030,928,2020-11-18,229.89075234721432,Gresham,40367,52440
97060,478,2020-11-18,216.53454133635333,Troutdale,22075,70029
97317,553,2020-11-18,211.35911940070326,Salem,26164,59502
97501,958,2020-11-18,209.8346292848538,Medford,45655,43006
97123,1023,2020-11-18,206.20842572062085,Hillsboro,49610,78935
97080,917,2020-11-18,198.80758807588077,Gresham,46125,75213
97266,726,2020-11-18,196.89737470167066,Portland,36872,46821
97114,104,2020-11-18,190.9307875894988,Dayton,5447,67395
97362,95,2020-11-18,188.71672626142234,Mount Angel,5034,53086
97868,39,2020-11-18,188.13314037626628,Pilot Rock,2073,49244
97216,323,2020-11-18,185.57885665038782,Portland,17405,50559
97116,528,2020-11-18,182.17575820308457,Forest Grove,28983,62657
97015,405,2020-11-18,178.94225246321741,Clackamas,22633,74846
97741,246,2020-11-18,177.43796884016157,Madras,13864,50018
97058,373,2020-11-18,175.8936150146185,The Dalles,21206,51778
97005,497,2020-11-18,175.56254194779046,Beaverton,28309,54232
97220,582,2020-11-18,174.56508698260348,Portland,33340,53408
97078,450,2020-11-18,174.39832577607254,Beaverton,25803,67159
97013,441,2020-11-18,173.9439119630813,Canby,25353,76479
97303,740,2020-11-18,173.92939406759743,Salem,42546,61298
97128,674,2020-11-18,170.32245021732538,Mcminnville,39572,54784
